source,target,score_1,score_2,editor_1,editor_2,partition,agreement,score_3,source_pos,target_pos,source_lemma,target_lemma,source_sentence,target_sentence,source_cefr,target_cefr,source_ipm,target_ipm,target_sentence_level,target_level_comparison
обещание,обещали,1,1,E12,E13,a,1,1,NOUN,VERB,обещание,обещать,"Польщенные доверием адмирала и старшего офицера, которого давно на баке звали «козырным» за его морскую лихость и любили за открытый добрый характер, — все, проникнутые добрыми и горделивыми намерениями показать себя и не оконфузить, дали старшему офицеру обещание","Польщённые доверием адмирала и старшего офицера, которого любили за открытый добрый характер, все обещали показать себя и не оконфузить. ",b2,a2,24.4,107.2,b1_c1,Word level lower than target CEFR range
заблуждении,ошибался,1,1,E12,E13,a,1,1,NOUN,VERB,заблуждение,ошибаться,"Несмотря на всю свою светскую опытность, Вронский, вследствие того нового положения, в котором он находился, был в странном заблуждении. ","Несмотря на всю свою светскую опытность, Вронский ошибался в оценке того нового положения, в котором он находился. ",c1,b1,15.2,25.8,b1,Word level equal to target CEFR
счастливая,весёлая,1,1,E12,E13,a,1,1,ADJ,ADJ,счастливый,веселый,"Прощайте, я пойду. Я гляжу на вас теперь, и вспоминается мне, как когда - то давно, в день ваших именин, вы, бодрая, веселая, говорили о радостях труда. И какая мне тогда мерещилась счастливая жизнь! ","Я гляжу на вас теперь, и вспоминается мне, как когда - то давно, в день ваших именин, вы, бодрая, весёлая, говорили о радостях труда. ",a1,a1,117.2,97.7,b2,Word level lower than target CEFR
страстно,страстью,1,1,E12,E13,a,1,1,ADV,NOUN,страстно,страсть,"И часто на сквере или в саду, когда вблизи их никого не было, он вдруг привлекал ее к себе и целовал страстно. ","И часто в саду, когда рядом с ними никого не было, он вдруг привлекал её к себе и целовал со страстью. ",b2,c1,11.5,0.5,b1,Word level higher than target CEFR
поняв,понял,1,1,E12,E13,a,1,1,VERB,VERB,понять,понять,"В первый раз тогда поняв ясно, что для всякого человека и для него впереди ничего не было, кроме страдания, смерти и вечного забвения, он решил, что так нельзя жить, что надо или объяснить свою жизнь так, чтобы она не представлялась злой насмешкой какого - то дьявола, или застрелиться.","Сначала он понял ясно, что для каждого человека и для него впереди ничего не было, кроме страдания и смерти. ",,,588.2,588.2,b1,No word level
юноша,молодого,1,1,E12,E13,a,1,1,NOUN,ADJ,юноша,молодой,"Опытному человеку сразу было видно, что юноша из хорошей семьи, на банк забрел впервые и всего здесь дичится. ","Опытные игроки сразу увидели в Фандорине молодого человека из хорошей семьи, который впервые пришёл играть, а он думал, что его никто не заметил",a2,a1,42.1,400,b1,Word level lower than target CEFR
климатические,погоду,1,1,E12,E13,a,1,1,ADJ,NOUN,климатический,погода,"Тот всесторонне обсудил с Варей климатические условия на Балканах, в Лондоне и Средней Азии, рассказал об устройстве рессор своего экипажа и подробно описал несколько остроумнейших шахматных этюдов. ","Маклафлин сначала обсудил с ней погоду на Балканах, в Лондоне и в Средней Азии, потом рассказал о том, как сделана его коляска, а затем начал говорить о своих любимых шахматах. ",,a1,8,51.7,b1,Word level lower than target CEFR
детьми,детского,1,1,E12,E13,a,1,1,NOUN,ADJ,ребенок,детский,"ЧАСТЬ ШЕСТАЯ I Дарья Александровна проводила лето с детьми в Покровском, у сестры своей Кити Левиной. ",ЧАСТЬ ШЕСТАЯ Во время детского чая в доме Левиных взрослые сидели на балконе и разго варивали. ,a1,a1,658.3,161.8,b1,Word level lower than target CEFR
пощупал,осмотрел,1,1,E12,E13,a,1,1,VERB,VERB,пощупать,осмотреть,"Он пощупал пульс больного, поговорил с ним по - немецки, и по - русски объявил, что ему нужно одно спокойствие и что дни через два ему можно будет отправиться в дорогу. ","Он осмотрел больного, поговорил с ним по - немецки и по - русски объявил, что больному нужно одно спокойствие и что дня через два ему можно будет ехать дальше. ",c1,,5.2,21.9,a2,No word level
чтение,читать,1,1,E12,E13,a,1,1,NOUN,VERB,чтение,читать,Эраст Петрович поморщился и скучным голосом сказал: — Сто рублей на м - мсье дЭвре. — и снова углубился в чтение,"— Сто рублей на дЭвре, — сказал скучным голосом Фандорин и продолжил читать свою книгу.",a2,a1,55.8,304.4,b1,Word level lower than target CEFR
завершивший,закончил,1,1,E12,E13,a,1,1,VERB,VERB,завершить,закончить,"Русские и турецкие уполномоченные подписали в Сан - Стефано мир, завершивший славную войну за освобождение христианских народов от турецкого владычества. ","19 февраля 1878 - го года русские газеты писали, что русская и турецкая стороны подписали в Сан - Стефано мир, который закончил войну за освобождение христианских народов от турок. ",,,32.7,89.2,b1,No word level
интересно,интересного,1,1,E12,E13,a,1,1,ADJ,ADJ,интересный,интересный,Было интересно. ,И с удовольствием рассказывает мне много интересного. ,a1,a1,171.9,171.9,b1,Word level lower than target CEFR
бриллиантом,камнем,1,1,E12,E13,a,1,1,NOUN,NOUN,бриллиант,камень,"Лукан галантно взял Варю за запястье двумя пальцами (сверкнул перстень с нешуточным бриллиантом) и хотел припасть поцелуем, но получил должный отпор: — В Петербурге у современных женщин рук не целуют.","Лукан красиво взял Варину руку (Варя заметила на руке полковника кольцо с большим дорогим камнем), чтобы поцеловать, но девушка не дала ему этого сделать, сказала просто: «В Петербурге у современных женщин рук не целуют!» ",b2,b1,9.6,131.9,b1,Word level equal to target CEFR
спросу,спросил,1,1,E12,E13,a,1,1,NOUN,VERB,спрос,спросить,"— Какой - то, ваше превосходительство, без спросу влез, только я отвернулся. ","— спросил он у швейцара. — Какой - то, ваше превосходительство, без разрешения вошёл, когда я в другую сторону смотрел. ",c1,,47.5,573.9,b1,No word level
выстрелы,стреляли,1,1,E12,E13,a,1,1,NOUN,VERB,выстрел,стрелять,"— Варя кивнула в ту сторону, где клубилось пыльное облако и гремели выстрелы. — в шляпе кто?","— Варя показала в ту сторону, где стреляли. — В шляпе — кто? ",c1,b2,41.1,61.7,b1,Word level higher than target CEFR
службу,работу,1,1,E12,E13,a,1,1,NOUN,NOUN,служба,работа,"«К тому же, если ты женишься на ней, — продолжал кусочек, — то ее родня заставит тебя бросить земскую службу и жить в городе».","«К тому же, если ты женишься на ней, — продолжал голос, — её родственники потребуют, чтобы ты бросил работу в провинции и жил в городе».",c1,a1,218.1,1058.3,b1,Word level lower than target CEFR
усмехнулась,смехом,1,1,E12,E13,a,1,1,VERB,NOUN,усмехнуться,смех,"В эту минуту ему показалось, что пиковая дама прищурилась и усмехнулась. ","В эту минуту ему показалось, что пиковая дама как - то странно со смехом посмотрела на него. ",,b2,55,74.6,b1,Word level higher than target CEFR
прислушалась,услышала,1,1,E14,E10,a,1,1,VERB,VERB,прислушаться,слышать,"В это время в другой комнате, вероятно упавши, закричал ребенок; Дарья Александровна прислушалась, и лицо ее вдруг смягчилось.","В это время в другой комнате закричал ребёнок; Дарья Александровна услышала его голос, и лицо её вдруг смягчилось. ",,a2,14.3,256.1,b1,Word level lower than target CEFR
возглашал,приглашал,1,1,E14,E10,a,1,1,VERB,VERB,возглашать,приглашать,"— возглашал крупер, приглашая ставить и готовясь вертеть рулетку",— приглашал ставить крупье,,a1,0.9,47.5,b1_c1,Word level lower than target CEFR range
съем,ем,1,1,E14,E10,a,1,1,NOUN,VERB,съем,есть,"Погрызу косточку, съем, осторожно взяв из рук Зины, бисквит, и все.","Я грызу косточку, из рук Зины осторожно беру бисквит, потом ем его — и всё.",,a2,1.2,94.7,b1,Word level lower than target CEFR
пошлую,грешную,1,1,E14,E10,a,1,1,ADJ,ADJ,пошлый,грешной,"Совершенная праздность, эти поцелуи среди белого дня, с оглядкой и страхом, как бы кто не увидел, жара, запах моря и постоянное мелькание перед глазами праздных, нарядных, сытых людей точно переродили его; он говорил Анне Сергеевне о том, как она хороша, как соблазнительна, был нетерпеливо страстен, не отходил от нее ни на шаг, а она часто задумывалась и все просила его сознаться, что он ее не уважает, нисколько не любит, а только видит в ней пошлую женщину. ","Эти поцелуи среди белого дня, страх, что их могут увидеть, запах моря и праздные, нарядные люди, которых они везде постоянно встречали, как будто изменили его; он говорил Анне Сергеевне о том, как она хороша, был полон страсти, не отходил от неё никуда, а она часто о чёмто думала и всё время просила его сказать правду, что он её не уважает, нисколько не любит, а только видит в ней низкую, грешную женщину. ",c1,,7.6,,b1,No word level
излишними,лишними,1,1,E14,E10,a,1,1,ADJ,ADJ,излишний,лишний,"От прошлого у него сохранилось воспоминание о беззаботных, добродушных женщинах, веселых от любви, благодарных ему за счастье, хотя бы очень короткое; и о таких, – как, например, его жена, – которые любили без искренности, с излишними разговорами, манерно, с истерией, с таким выражением, как будто то была не любовь, не страсть, а что - то более значительное; и о таких двух - трех, очень красивых, холодных, у которых вдруг промелькало на лице хищное выражение, упрямое желание взять, выхватить у жизни больше, чем она может дать, и это были не первой молодости, капризные, не рассуждающие, властные, не умные женщины, и когда Гуров охладевал к ним, то красота их возбуждала в нем ненависть и кружева на их белье казались ему тогда похожими на чешую.","От прошлого у него осталось воспоминание о добрых женщинах, весёлых от любви, благодарных ему за счастье, хотя бы очень короткое; и о таких, — как, например, его жена, — которые любили с лишними разговорами, неестественно, как будто то была не любовь,не страсть, а что - то более важное; и о таких двухтрёх, очень красивых, холодных, у которых было желание взять у жизни больше, чем она может дать, и это были не первой молодости, не умные женщины, и когда Гуров переставал их любить, то ненавидел их красоту. ",,b1,15.2,83.5,b1,Word level equal to target CEFR
платьев,вещи,1,1,E14,E10,a,1,1,NOUN,NOUN,плат,вещь,"Я навязала в узелок все, что было платьев, сколько нужно белья, и с узелком в руках, ни жива ни мертва, пошла в мезонин к нашему жильцу. ","Я собрала свои вещи и с вещами в руках, ни жива ни мертва, пошла в мезонин к нашему жильцу. ",,a2,0.5,242.5,b1,Word level lower than target CEFR
завещание,желание,1,1,E14,E10,a,1,1,NOUN,NOUN,завещание,желание,И что означает завещание на леди Эстер?,"Кокорин писал в своём завещании, что это он исполнит его последнее желание и передаст деньги леди Эстер! ",b2,b1,10.9,143.6,b1,Word level equal to target CEFR
сердито,злым,1,1,E14,E10,a,1,1,ADV,ADJ,сердито,злой,"Варя хотела выбежать на дорогу, но тут из корчмы выскочил хозяин, в красной рубахе, с багровым носом, с бородавками на щеке, сердито закричал, показал: сначала плати, потом уходи. ","Она уже хотела убежать, но пришёл хозяин трактира и закричал злым голосом: «Сначала плати, а потом уходи!» ",b2,a2,18.6,61.5,b1,Word level lower than target CEFR
кондитерскую,вмагазин,1,1,E14,E10,a,1,1,ADJ,NOUN,кондитерская,вмагазин,"Германн подбежал, поднял его и вошёл в кондитерскую лавку. ","Германн подбежал, поднял его и вошёл вмагазин. ",,,1.2,,b1,No word level
уезжая,поехал,1,1,E14,E10,a,1,1,VERB,VERB,уезжать,поехать,"Однажды, уезжая из редакции на дачу, я вспомнил о ней и взял ее с собою.",Однажды вечером я на поезде поехал на дачу и взял эту повесть с собой. ,a2,a1,50.7,158.4,b1,Word level lower than target CEFR
проворчал,сказал,1,1,E14,E10,a,1,1,VERB,VERB,проворчать,сказать,"— Могли бы отправить телеграмму, — проворчал Мизинов","— Могли бы дать телеграмму, — сердито сказал Мизинов",,a1,7.2,2396.6,b1,Word level lower than target CEFR
отвечал,сказал,1,1,E14,E10,a,1,1,VERB,VERB,отвечать,сказать,"Право, не помню, — рассеянно отвечал Вронский, смутно представляя себе при имени Карениной что - то чопорное и скучное","— Кажется, знаю, — сказал Вронский, неясно представляя себе при имени Карениной что - то скучное. ",a1,a1,232.4,2396.6,b1,Word level lower than target CEFR
наезжает,Приезжает,1,1,E14,E10,a,1,1,VERB,VERB,наезжать,приезжать,"Но первый — известный брюзга, а второй редко наезжает, только если с Соболевым. ",Приезжает только с Соболевым. ,c1,a1,5.1,86.8,b1,Word level lower than target CEFR
Разбить,разделить,1,1,E14,E10,a,1,1,VERB,VERB,разбить,разделить,Разбить территорию между корреспондентским наблюдательным пунктом и ставкой на квадраты. ,"Территорию между местом, где были журналисты, и ставкой надо разделить на квадраты. ",,,36.7,41.4,b1,No word level
испарений,запахов,1,1,E14,E10,a,1,1,NOUN,NOUN,испарение,запах,"На утро поднявшееся яркое солнце быстро съело тонкий ледок, подернувший воды, и весь теплый воздух задрожал от наполнивших его испарений отжившей земли. ","Наутро поднявшееся яр кое солнце быстро съело тонкий ледок, покрывавший воды, и весь тёплый воздух задрожал от наполнивших его запахов земли. ",,b2,3.9,94.1,b1,Word level higher than target CEFR
проглотил,съел,1,1,E14,E10,a,1,1,VERB,VERB,проглотить,съесть,Ел колбасу и проглотил нечаянно колбасную веревочку. ,Случайно съел колбасу с верёвочкой. ,,,14.1,43.2,b1,No word level
вытолкнул,выгнал,1,1,E14,E10,a,1,1,VERB,VERB,вытолкнуть,выгнать,"— и, сильной рукою схватив старика за ворот, вытолкнул его на лестницу.",— сильной рукой он схватил старика и выгнал его на лестницу.,,,3.2,22.7,a2,No word level
составите,сделаете,1,1,E14,E10,a,1,1,VERB,VERB,составить,делать,"Клянусь вам, что если когда - нибудь я буду в состоянии жениться, то непременно вы составите мое счастие; уверяю, теперь только одни вы можете составить мое счастье. ","Клянусь вам, что если когда - нибудь я смогу жениться, то обязательно вы сделаете меня счастливым. ",,a1,121.6,701.1,b1,Word level lower than target CEFR
вытравливать,убивать,1,1,E14,E10,a,1,1,VERB,VERB,вытравливать,убивать,"У евреев в «Книге Еноха» Азазель учит людей всякой дряни: мужчин воевать и делать оружие, женщин — красить лицо и вытравливать плод. ","У евреев Азазель учит людей плохому: мужчин воевать, а женщин – делать красивым лицо и убивать в себе будущего ребёнка",,a2,,49.8,b1,Word level lower than target CEFR
раскаянии,угрызения,1,1,E14,E10,a,1,1,NOUN,NOUN,раскаяние,угрызение,"Горько заплакала она в позднем, мучительном своём раскаянии. ","Горько заплакала она, чувствуя поздние угрызения совести. ",,,5.6,3.4,b1,No word level
припомнить,вспомнили,1,1,E14,E10,a,1,1,VERB,VERB,припомнить,вспомянуть," - Может быть, согласен, только я не помню, - продолжал князь Щ. - Одни над этим сюжетом смеялись, другие провозглашали, что ничего не может быть и выше, но чтоб изобразить рыцаря бедного во всяком случае надо было лицо; стали перебирать лица всех знакомых, ни одно не пригодилось, на этом дело и стало; вот и все; не понимаю, почему Николаю Ардалионовичу вздумалось все это припомнить и вывести? ","Но чтоб изобразить «рыцаря бедного», надо было лицо; стали перебирать лица всех знакомых, ни одно не вспомнили, на этом дело и закончилось",,,14.8,,b1,No word level
вздумалось,захотел,1,1,E14,E10,a,1,1,VERB,VERB,вздуматься,захотеть,"Ну, да, одним словом, неужели я мог вас обидеть тем, что невольно вздумалось мне к вам подойти?.. ","Ну, да, одним словом, неужели я мог вас обидеть тем, что захотел к вам подойти?..",,b1,2.8,70.4,b1,Word level equal to target CEFR
явился,оказался,1,1,E14,E10,a,1,1,VERB,VERB,явиться,оказаться,"Обманутый муж, представлявшийся до сих пор жалким существом, случайною и несколько комическою помехой его счастью, вдруг ею же самой был вызван, вознесен на внушающую подобострастие высоту, и этот муж явился на этой высоте не злым, не фальшивым, не смешным, но добрым, простым и величественным. ","Обманутый муж, которого он считал до сих пор жалким существом, препятствием его счастью, вдруг оказался добрым, простым и величественным. ",,,79.8,531.9,b1,No word level
говорила,обратилась,1,1,E14,E10,a,1,1,VERB,VERB,говорить,обратиться,"Она стояла, как и всегда, чрезвычайно прямо держась, и, когда Кити подошла к этой кучке, говорила с хозяином дома, слегка поворотив к нему голову","Она стояла, как и всегда, чрезвычайно прямо и, когда Кити подошла к этой группе, с нежной улыбкой обратилась к Кити. ",a1,,1755,108.6,b1,No word level
расстраивать,ссорить,1,1,E14,E10,a,1,1,VERB,VERB,расстраивать,ссорить,"Если бы вы опять разошлись, то я был бы очень доволен; но расстраивать и разлаживать вас сам я не намерен. ","Если бы вы опять разошлись, то я был бы очень доволен; но ссорить вас я не хочу. ",c1,,2.5,0.5,b1,No word level
сняла,убрала,1,1,E14,E10,a,1,1,VERB,VERB,снять,убрать,"— А паутину - то я всю с потолка сняла; теперь хоть женись, гостей созывай, так в ту ж пору. ","— А комнатуто я всю убрала, теперь хоть женись, гостей зови.",,,161.3,47,b1,No word level
освещения,свет,1,1,E14,E10,a,1,1,NOUN,NOUN,освещение,свет,"Электричество — это не просто способ освещения, как полагают профаны. ",Электричество — это не только свет. ,b2,a1,17.1,359.7,b1,Word level lower than target CEFR
гранпасьянс,пасьянс,1,1,E14,E10,a,1,1,NOUN,NOUN,гранпасьянс,пасьянс,"Вы можете себе представить, сколько разных дел прошло в продолжение сорока пяти лет через его руки, и никогда никакое дело не вывело Осипа Евсеича из себя, не привело в негодование, не лишило веселого расположения духа; он отроду не переходил мысленно от делопроизводства на бумаге к действительному существованию обстоятельств и лиц; он на дела смотрел как - то отвлеченно, как на сцепление большого числа отношений, сообщений, рапортов и запросов, в известном порядке расположенных и по известным правилам разросшихся; продолжая дело в своем столе или сообщая ему движение, как говорят романтики - столоначальники, он имел в виду, само собою разумеется, одну очистку своего стола и оканчивал дело у себя как удобнее было: справкой в Красноярске, которая не могла ближе двух лет возвратиться, или заготовлением окончательного решения, или — это он любил всего больше — пересылкою дела в другую канцелярию, где уже другой столоначальник оканчивал по тем же правилам этот гранпасьянс; он до того был беспристрастен, что вовсе не думал, например, что могут быть лица, которые пойдут по миру прежде, нежели воротится справка из Красноярска, — Фемида должна быть слепа. Вот этот - то почтеннейший сослуживец Владимира, месяца через три после его определения, окончив пересмотр перебеленных бумаг и задав нового корма перьям четырех писцов, вынул свою серебряную табакерку с чернью, поднес ее помощнику и прибавил: — Попробуйте - ка, Василий Васильевич, ворошатинского; приятель привез из Владимира","Обычно он оканчивал дело как удобнее было: справкой в Красноярске, которая не могла раньше двух лет вернуться, или — это он любил больше всего — пересылкой дела в другую канцелярию, где уже другой начальник оканчивал по тем же правилам этот гран - пасьянс. ",,,,2.4,b1_c1,No word level
обратился,сказал,1,1,E14,E10,a,1,1,VERB,VERB,обратиться,сказать,"— обратился ко мне земский врач. — Очень рад, что хоть вы пришли. Скажите, пожалуйста, кто здесь хозяин?","— Очень рад, что вы пришли. — сказал Сергею врач. — Скажите, кто здесь хозяин? ",,a1,108.6,2396.6,b1,Word level lower than target CEFR
потребность,желание,1,1,E14,E10,a,1,1,NOUN,NOUN,потребность,желание,"«А, если так, то я знаю, что мне делать, – сказала она, и, чувствуя поднимающийся в себе неопределенный гнев и потребность мести, она взбежала наверх. – Я сама поеду к нему. ","«Если так, то я знаю, что мне делать, — сказала она, и, чув ствуя поднимающееся в себе желание мести, взбежала наверх. — Я сама поеду к нему. ",b2,b1,70.2,143.6,b1,Word level equal to target CEFR
оставит,уедет,1,1,E14,E10,a,1,1,VERB,VERB,оставить,уехать,"Если ты не обещаешь мне, что через час этот подлец оставит твою деревню, я к тебе более ни ногой!.. ","Если этот подлец не уедет отсюда через час, я никогда не приеду к тебе! ",,,210.5,117.4,b1,No word level
лучами,светом,1,1,E14,E10,a,1,1,NOUN,NOUN,луч,свет,"Она начала так: «Мороз крепчал.» Окна были отворены настежь, слышно было, как на кухне стучали ножами, и доносился запах жареного лука. В мягких, глубоких креслах было покойно, огни мигали так ласково в сумерках гостиной; и теперь, в летний вечер, когда долетали с улицы голоса, смех и потягивало со двора сиренью, трудно было понять, как это крепчал мороз и как заходившее солнце освещало своими холодными лучами снежную равнину и путника, одиноко шедшего по дороге; Вера Иосифовна читала о том, как молодая, красивая графиня устраивала у себя в деревне школы, больницы, библиотеки и как она полюбила странствующего художника, — читала о том, чего никогда не бывает в жизни, и все - таки слушать было приятно, удобно, и в голову шли всё такие хорошие, покойные мысли, — не хотелось вставать","В мяг ких, глубоких креслах было удобно сидеть, и теперь, в лет ний вечер, когда слышались с улицы голоса и смех, трудно бы ло понять, каккрепчал мороз и как солнце освещало своим хо лод ным светом снежную дорогу и одинокого человека на ней. ",c1,a1,45.4,359.7,b1,Word level lower than target CEFR
рублей,деньги,1,1,E14,E10,a,1,1,NOUN,NOUN,рубль,деньги,"Ну, а я этой порой, по матушкину благословению, у Сережки Протушина двадцать рублей достал, да во Псков по машине и отправился, да приехал - то в лихорадке; меня там святцами зачитывать старухи принялись, а я пьян сижу, да пошел потом по кабакам на последние, да в бесчувствии всю ночь на улице и провалялся, ан к утру горячка, а тем временем за ночь еще собаки обгрызли. ","Ну, я в это время во Псков и отправился, да пошёл потом пить на последние деньги, да в бесчувствии всю ночь на улице и пролежал, а к утру жар. ",a1,a1,296.4,512.4,b1,Word level lower than target CEFR
въехав,Входя,1,1,E14,E10,a,1,1,VERB,VERB,въехать,входить,"Но только что въехав на широкий полукруглый двор и слезши с извозчика, он вступил на крыльцо и навстречу ему швейцар в перевязи беззвучно отворил дверь и поклонился; только что он увидал в швейцарской калоши и шубы членов, сообразивших, что менее труда снимать калоши внизу, чем вносить их наверх; только что он услыхал таинственный, предшествующий ему звонок и увидал, входя по отлогой ковровой лестнице, статую на площадке и в верхних дверях третьего, состарившегося знакомого швейцара в клубной ливрее, неторопливо и не медля отворявшего дверь и оглядывавшего гостя, – Левина охватило давнишнее впечатление клуба, впечатление отдыха, довольства и приличия","Входя по ковровой лестнице в клуб, он увидел в дверях состарившегося знакомого швейцара, который открывал ему дверь. ",,a2,12.7,157.9,b1,Word level lower than target CEFR
предостаточно,достаточно,1,1,E14,E10,a,1,1,ADV,ADV,предостаточно,достаточно,Повоевал предостаточно.,Я достаточно уже воевал. ,,b1,4.2,204.7,b1,Word level equal to target CEFR
сошел,пошёл,1,1,E14,E10,a,1,1,VERB,VERB,сойти,пойти,"Час спустя, уже в четвертом часу, князь сошел в парк. ","V Уже в четвёртом часу утра, когда гости ушли, князь снова пошёл в парк. ",,a1,55.4,587.2,b1,Word level lower than target CEFR
проговорился,сказал,1,1,E14,E10,a,1,1,VERB,VERB,проговориться,сказать,"Он проговорился вчера – он хочет развода и женитьбы, чтобы сжечь свои корабли. ",Он сказал правду вчера — он хочет развода и же ниться на другой. ,,a1,3.3,2396.6,b1,Word level lower than target CEFR
набожных,религиозных,1,1,E14,E10,a,1,1,ADJ,ADJ,набожный,религиозный,"Это был кружок старых, некрасивых, добродетельных и набожных женщин и умных, ученых, честолюбивых мужчин. ","Это был круг старых, религиозных женщин и умных, учёных мужчин. ",,c1,1.2,59.4,b1,Word level higher than target CEFR
выговаривать,повторять,1,1,E14,E10,a,1,1,VERB,VERB,выговаривать,повторять,"И те уверения в любви, которые ему казались так пошлы, что ему совестно было выговаривать их, она впивала в себя и понемногу успокоивалась. ","И те признания в любви ему было стыдно повторять, но Анна понемногу успокаивалась. ",c1,a1,7.2,79.9,b1,Word level lower than target CEFR
юноши,люди,1,1,E14,E10,a,1,1,NOUN,NOUN,юноша,человек,"Мало того, что юноши, танцующие на московских балах, почти все были влюблены в Кити, уже в первую зиму представились две серьезные партии: Левин и, тотчас же после его отъезда, граф Вронский.","Мало того, что молодые люди, танцующие на московских балах, почти все были влюблены в Кити, появились две серьёзные партии: Левин и, тотчас же после его отъезда, граф Вронский. ",a2,a1,42.1,2723,b1,Word level lower than target CEFR
завещаю,оставил,1,1,E14,E10,a,1,1,VERB,VERB,завещать,оставить,"Все мое реализуемое имущество, полный перечень коего имеется у моего поверенного Семена Ефимовича Берензона, я завещаю г - же баронессе Маргарете Эстер, подданной Британии, для использования всех сих средств по полному ее усмотрению на нужды образования и воспитания сирот. ",Самоубийца оставил все свои миллионы английской баронессе Маргарет Эстер для образования и воспитания сирот. ,c1,,5.8,210.5,b1,No word level
выговорила,сказала,1,1,E14,E10,a,1,1,VERB,VERB,выговорить,сказать,"Если кто несчастен, так это я, – выговорила она и, отвернувшись от нее, заплакала.","Я несчастна, — сказала она и заплакала. ",,a1,10.4,2396.6,b1,Word level lower than target CEFR
рассказывали,сказал,1,1,E14,E10,a,1,1,VERB,VERB,рассказывать,сказать,"Прекрасный и достойный, - прибавил он, помолчав. - Достойный даже, можно сказать, всякого уважения, - прибавил он еще внушительнее после третьей остановки, - и. и очень даже приятно видеть с вашей стороны. - Не с этим ли Павлищевым история вышла какая - то. странная. с аббатом. с аббатом. забыл с каким аббатом, только все тогда что - то рассказывали, - произнес, как бы припоминая, сановник ","— Не с этим ли Павлищевым история вышла какая - то. странная. с аббатом. — сказал, что - то припоминая, высокий гость",a1,a1,230,2396.6,b1,Word level lower than target CEFR
устремился,вышел,1,1,E14,E10,a,1,1,VERB,VERB,устремиться,выйти,"Подожди и обдумай, а я сейчас. - проговорил он второпях, и почти испуганно устремился на зов Александры.","— Подожди и обдумай, а я сейчас. — проговорил он быстро и вышел.",,,11.3,480.9,b1,No word level
угрызения,стыдно,1,1,E14,E10,a,1,1,NOUN,ADV,угрызение,стыдно,"Вот у вас теперь угрызения совести за то, что вы насмехались, а я не хочу, да, не хочу, чтоб вы, кроме вашего горя. я, конечно, виноват, Настенька, но прощайте! ","Вот теперь вам стыдно за то, что вы смеялись надо мной, а я не хочу, да, не хочу, кроме вашего горя. я, конечно, виноват, Настенька, но прощайте!",,b1,3.4,43.5,b1,Word level equal to target CEFR
порхнула,бросилась,1,1,E14,E10,a,1,1,VERB,VERB,порхнуть,броситься,как она вырвалась из рук моих и порхнула к нему навстречу!.. ,как она бросилась к нему навстречу!,,,,59.5,b1,No word level
тяжкое,трудно,1,1,E14,E10,a,1,1,ADJ,ADJ,тяжкий,трудный,"Обмануть или убить друга — тяжкое испытание, но иногда приходится переступать и через это. ",Обмануть или убить друга — очень трудно. ,c1,a1,26,81.3,b1,Word level lower than target CEFR
походят,похожи,1,1,E2,E3,e&a,1,1,VERB,ADJ,походить,похожий,"Наружностью словно как бы и на людей походят, а живут как собаки. Взять хоть, например, брак. ","Наружностью словно как бы и на людей похожи, а живут как собаки. ",,b1,27.1,206.5,b1_c1,Word level in target CEFR range
поминал,говорил,1,1,E2,E3,e&a,1,1,VERB,VERB,поминать,говорить,"Эвре, кстати, тоже про бороду поминал","Помните, дЭвре тоже про бороду говорил",c1,a1,7.5,1755,b1,Word level lower than target CEFR
Мать,Женщина,1,1,E2,E3,e&a,1,1,NOUN,NOUN,мать,женщина,"Мать бросилась к дочери и плакала от радости, что дочь была жива. ","Женщина плакала от радости, потому что её дочь была жива. ",a1,a1,330.1,533.3,a2_b1,Word level lower than target CEFR range
